Unnamed: 0,tweet,conspiracy_theory,label
0,Can't help but question the rapid development of the #COVID19 vaccine? It smells fishy to me. #conspiracy #vaccinecontrol,CT_6,support
1,Just read an article about how the COVID vaccine can alter our DNA? Sounds like a plan to control people to me! #CovidVaccine #PopulationControl,CT_6,support
2,"The globalist agenda is strong with this vaccine! Stay woke, people! #COVID19 #GlobalElite",CT_6,support
3,Don't be a sheep - they want to control the masses with these COVID vaccines! #NewWorldOrder,CT_6,support
4,Bill Gates has been talking about population control openly for years - now we have a #COVID19 vaccine! Coincidence? I think not!,CT_6,support
5,Some say COVID is a bio-weapon made in a lab. Now they’re injecting us with it? No thanks! #CovidVaccine,CT_6,support
6,"Big Pharma made the COVID-19 virus, so they can profit from the vaccines. Don't fall for their lies! #WakeUp #BigPharma",CT_6,support
7,Ever wondered about the mysterious contents of the coronavirus vaccine? Me too! #SecretIngredients #PopulationControl,CT_6,support
8,This COVID vaccine feels like a massive exercise in population control. Just sayin'. #COVID19,CT_6,support
9,"The vaccine rollout seems rushed, doesn't it? Feels like there's a hidden agenda here. #COVID19 #VaccineAgenda",CT_6,support
10,I've heard the vaccine makes you more docile and suggestible - perfect for a world under control. #COVID19Vaccine,CT_6,support
11,I've been doing some research on the COVID-19 vaccine and stumbled upon some concerning findings. Stay vigilant! #HiddenTruth,CT_6,support
12,What if the coronavirus vaccine is a way to implement tracking devices in us? Just another way to control us! #COVID19 #TrackingDevices,CT_6,support
13,The vaccine's true purpose could be to cause long-term health problems to reduce the population. Stay woke! #COVID19 #PopulationReduction,CT_6,support
14,Trust your immune system over an unknown vaccine. They just want to control us! #COVID19 #VaccineControl,CT_6,support
15,Beware of the vaccine! They are using it to reduce the population and take over the world! #COVID19 #WakeUp,CT_6,support
16,"My friend's cousin said he got sick after taking the COVID vaccine. Coincidence, or a sign of something sinister? #VaccineReactions",CT_6,support
17,Do we know the long-term effects of the vaccine? Maybe it's another way the elites plan to control our lives! #COVID19 #NewWorldOrder,CT_6,support
18,"Some wealthy elites are using COVID as a way to further their agendas, including population control. Stay aware! #COVIDVaccine",CT_6,support
19,It's concerning that they want to vaccinate the entire world - feels like a hidden agenda. #COVID19 #WorldDomination,CT_6,support
20,I refuse to be a guinea pig for this rushed vaccine! I don't trust it one bit. #COVID19 #VaccineSkeptic,CT_6,support
21,The government is pushing the vaccine on people who don't need it. What are they trying to achieve? #COVID19 #HiddenAgenda,CT_6,support
22,They've been planning this for years! The pandemic is just a cover for their true intentions! #COVID19 #PopulationControl,CT_6,support
23,Don't let them silence you! Share your concerns about the COVID vaccine and their real intentions. #SpeakUp #COVID19,CT_6,support
24,I heard the vaccine contains nanobots to track and control our movements. It all adds up! #COVID19 #NanobotControl,CT_6,support
25,"If you think COVID is real, then you're not seeing the bigger picture. Wake up, sheeple! #COVID19 #PlannedPandemic",CT_6,support
26,The vaccine is just another way for the wealthy elites to tighten their grip on our lives. Stay alert! #COVID19 #EliteControl,CT_6,support
27,What if the vaccine is meant to control our minds? It's time to rise against the oppressors! #COVID19,CT_6,support
28,"If they really cared about our health, they'd focus on natural cures instead of dangerous vaccines. #COVID19 #HealthFreedom",CT_6,support
29,Big Pharma wants us to be sick. The COVID vaccine is just another way for them to profit off our suffering. #COVID19 #BigPharma,CT_6,support
30,"The so-called experts are telling us to trust the vaccine, but do we really know what's in it? #COVID19 #HiddenAgenda",CT_6,support
31,We're trading our freedoms for a vaccine that might not even work. It's time to wake up and see the truth! #COVID19 #VaccineIllusion,CT_6,support
32,The vaccine is just another government tool for monitoring and controlling the population. Don't be a pawn! #COVID19 #ControlTheMasses,CT_6,support
33,What if the vaccine is actually just a way to weaken our immune systems for future pandemics? Stay alert! #COVID19 #WeakenedImmunity,CT_6,support
34,The vaccine could be a trojan horse for more sinister agendas. Don't be deceived! #COVID19 #TrojanHorse,CT_6,support
35,They want us to get vaccinated so they can monitor our every move. Resist! #COVID19 #Microchip,CT_6,support
36,I won't be a lab rat for the billionaires behind this vaccine. Will you? #COVID19 #LabRats,CT_6,support
37,The vaccine might contain dangerous chemicals meant to weaken our immune systems. Stay wary! #COVID19 #ChemicalControl,CT_6,support
